Date,Open,High,Low,Close,Adj Close,Volume
2021-04-08,115.86,118.09,112.64,114.49,114.27,41063236
2021-04-09,112.13,113.84,111.29,113.22,113.21,75234095
2021-04-12,112.72,114.36,111.93,114.01,113.97,59398390
2021-04-13,118.47,120.57,114.49,117.26,117.26,66449836
2021-04-14,117.06,118.39,116.11,117.24,117.1,57061621
2021-04-15,120.07,122.01,117.72,120.64,120.41,121671687
2021-04-16,115.97,116.18,113.93,115.13,114.98,45251457
2021-04-19,116.41,117.75,115.9,116.9,116.71,154759765
2021-04-20,118.64,118.85,116.99,117.14,117.14,62747391
2021-04-21,117.12,119.7,114.92,116.56,116.44,73689497
2021-04-22,116.41,117.61,113.57,116.81,116.7,59593841
2021-04-23,114.46,116.1,111.64,112.75,112.64,58899808
2021-04-26,111.88,112.58,110.81,112.36,112.34,56190228
2021-04-27,113.72,115.66,112.09,113.13,112.98,82834734
2021-04-28,116.48,117.5,114.67,116.24,116.12,47156475
2021-04-29,116.26,118.88,113.88,115.21,115.03,77512997
2021-04-30,114.84,117.4,111.08,113.6,113.49,37971553
2021-05-03,112.65,113.64,111.15,112.63,112.59,167173299
2021-05-04,113.94,117.14,112.44,114.55,114.4,88788325
2021-05-05,115.65,118.53,114.78,115.28,115.24,48990670
2021-05-06,113.7,116.61,110.9,114.24,114.04,84651528
2021-05-07,116.98,119.46,114.54,115.35,115.21,71014434
2021-05-10,115.71,116.52,115.28,115.6,115.57,109514246
2021-05-11,117.39,119.44,115.4,117.69,117.46,55093814
2021-05-12,116.41,116.72,114.49,116.26,116.14,154002878
2021-05-13,114.54,116.01,113.29,115.63,115.62,35840417
2021-05-14,114.09,117.74,112.82,114.87,114.73,63830694
2021-05-17,112.87,113.87,109.71,111.93,111.88,43505863
2021-05-18,112.07,114.72,111.43,112.58,112.4,248407629
2021-05-19,112.34,115.47,110.01,113.16,112.98,65054082
2021-05-20,113.65,116.11,111.35,113.23,113.0,66714573
2021-05-21,113.74,116.57,111.55,112.8,112.69,79249563
2021-05-24,110.57,111.32,108.69,110.01,109.91,69905881
2021-05-25,109.99,110.21,108.45,109.23,109.07,59278223
2021-05-26,108.03,109.79,105.97,108.61,108.58,49236440
2021-05-27,106.03,107.54,104.62,107.1,106.98,73382023
2021-05-28,107.96,108.13,105.91,106.84,106.72,77833245
2021-05-31,107.42,108.7,105.78,107.66,107.65,85046729
2021-06-01,111.24,113.64,108.47,111.43,111.34,119588748
2021-06-02,112.87,114.52,110.55,111.83,111.64,38085740
2021-06-03,112.84,113.8,109.81,112.4,112.21,68685246
2021-06-04,112.66,114.54,111.26,112.3,112.28,97727386
2021-06-07,110.19,110.91,108.29,108.54,108.52,67601418
2021-06-08,108.05,108.68,107.41,108.54,108.48,36372280
2021-06-09,109.41,111.53,107.5,108.7,108.51,48764576
2021-06-10,113.73,115.55,112.97,113.68,113.65,76745503
2021-06-11,113.55,115.75,113.23,113.34,113.18,75967869
2021-06-14,115.23,115.45,111.39,114.01,113.99,84504159
2021-06-15,114.4,116.81,111.57,113.99,113.85,56250376
2021-06-16,112.09,113.87,109.57,111.67,111.59,143808133
2021-06-17,114.9,116.56,113.47,114.04,113.86,53712917
2021-06-18,115.35,117.49,114.9,115.65,115.59,75285193
2021-06-21,116.67,119.91,116.36,117.36,117.21,71050767
2021-06-22,114.66,117.25,112.55,115.5,115.45,55626206
2021-06-23,116.88,120.28,114.16,118.51,118.34,108287167
2021-06-24,117.27,120.18,114.3,115.61,115.41,43419870
2021-06-25,115.99,119.13,115.54,116.89,116.86,67278543
2021-06-28,121.46,123.06,119.84,121.65,121.43,55283897
2021-06-29,119.32,121.7,118.2,119.55,119.41,116988052
2021-06-30,118.64,119.87,117.21,118.39,118.36,82768427
2021-07-01,119.33,120.11,116.77,118.66,118.55,58363362
2021-07-02,118.35,120.16,115.49,117.64,117.6,64726775
2021-07-05,113.98,117.12,113.57,114.45,114.29,117877659
2021-07-06,114.51,117.32,114.3,114.64,114.47,53706716
2021-07-07,112.75,113.78,109.73,112.52,112.5,42710711
2021-07-08,113.34,115.09,112.59,113.54,113.42,75942552
2021-07-09,112.98,113.67,111.47,111.73,111.54,76425357
2021-07-12,115.33,118.2,114.3,114.94,114.72,84350853
2021-07-13,113.96,116.76,113.16,113.38,113.26,84506669
2021-07-14,113.3,115.18,111.6,112.77,112.56,114926503
2021-07-15,115.43,117.77,112.17,114.49,114.37,43268147
2021-07-16,112.17,114.21,111.0,112.03,111.94,49984369
2021-07-19,111.52,114.26,110.22,112.54,112.35,84260414
2021-07-20,115.6,115.86,113.29,115.27,115.16,51363104
2021-07-21,111.53,113.37,110.05,112.04,111.93,46555754
2021-07-22,112.04,114.39,109.61,112.46,112.35,118029160
2021-07-23,113.5,115.46,110.58,113.04,112.85,44474297
2021-07-26,115.69,116.84,114.55,114.69,114.5,63442822
2021-07-27,112.23,114.88,110.01,112.22,112.13,68846015
2021-07-28,109.87,110.42,108.31,109.63,109.56,100993231
2021-07-29,112.03,113.49,107.98,110.71,110.61,41480788
2021-07-30,111.55,113.51,109.96,111.36,111.23,78635895
2021-08-02,113.95,115.97,109.15,111.91,111.86,54553925
2021-08-03,113.11,114.98,110.51,112.66,112.48,83448225
2021-08-04,109.97,112.19,109.2,111.34,111.23,54303521
2021-08-05,112.45,112.98,110.3,111.86,111.78,108716219
2021-08-06,112.8,114.64,109.71,112.5,112.48,54392356
2021-08-09,112.12,113.84,108.72,111.11,111.06,35133002
2021-08-10,115.5,116.11,114.58,114.96,114.74,56127026
2021-08-11,115.88,118.08,113.8,116.0,115.93,65061385
2021-08-12,112.61,114.94,111.57,113.59,113.55,94779612
2021-08-13,114.82,116.95,114.69,114.99,114.88,49212078
2021-08-16,112.37,115.43,111.17,113.04,112.97,49485234
2021-08-17,114.24,115.29,113.48,114.71,114.7,91602361
2021-08-18,117.66,117.83,114.76,117.18,117.1,47628542
2021-08-19,116.86,119.16,114.46,115.51,115.38,66578378
2021-08-20,117.91,119.75,115.13,117.58,117.45,66958492
2021-08-23,117.52,120.62,117.4,118.51,118.43,74397140
2021-08-24,120.71,123.26,119.32,120.33,120.23,56743308
2021-08-25,125.61,128.16,123.72,124.57,124.33,53997449
2021-08-26,123.55,127.06,122.73,124.08,123.98,76881531
2021-08-27,122.34,124.16,122.02,122.46,122.4,54468165
2021-08-30,120.58,122.11,119.91,120.57,120.51,47832430
2021-08-31,118.21,120.13,116.52,118.86,118.75,98719178
2021-09-01,119.29,119.85,117.8,118.75,118.57,80251218
2021-09-02,119.44,121.3,118.12,119.54,119.49,114823470
2021-09-03,120.54,121.46,118.98,120.19,120.02,87182723
2021-09-06,121.29,124.87,118.62,122.05,122.04,49078203
2021-09-07,121.76,123.96,118.99,122.13,122.03,71914551
2021-09-08,126.06,127.98,123.81,125.42,125.23,52673860
2021-09-09,124.56,126.07,123.45,124.88,124.8,136499371
2021-09-10,132.8,133.09,130.74,131.21,131.06,61761451
2021-09-13,132.38,132.99,129.22,132.76,132.7,92141408
2021-09-14,130.99,132.45,130.46,130.78,130.59,75601097
2021-09-15,129.18,129.57,127.3,128.34,128.33,47420038
2021-09-16,128.23,131.54,127.19,129.52,129.3,61156710
2021-09-17,127.47,131.92,126.36,129.06,129.01,67255082
2021-09-20,129.39,133.69,128.75,130.79,130.56,43621221
2021-09-21,133.13,135.37,129.35,131.96,131.87,85471544
2021-09-22,131.34,132.65,130.82,131.85,131.66,65657342
2021-09-23,132.24,135.11,127.81,129.92,129.83,47424011
2021-09-24,125.98,129.29,125.48,126.48,126.25,46678638
2021-09-27,125.68,126.4,125.18,125.52,125.49,95266778
2021-09-28,128.91,131.32,124.62,127.53,127.48,62920221
2021-09-29,129.88,130.9,127.37,128.08,127.95,97689473
2021-09-30,127.1,129.68,122.7,125.3,125.27,108711629
2021-10-01,126.81,129.97,123.97,125.74,125.69,93203079
2021-10-04,127.58,127.8,126.31,126.68,126.44,60288076
2021-10-05,125.25,128.07,121.75,124.73,124.49,34781931
2021-10-06,125.82,127.82,124.27,125.13,125.04,76411576
2021-10-07,124.84,128.37,122.14,125.32,125.09,125729984
2021-10-08,122.12,124.32,121.5,122.82,122.69,69309779
2021-10-11,123.67,126.31,121.01,123.67,123.61,40098819
2021-10-12,124.84,125.3,124.67,124.98,124.81,146411926
2021-10-13,127.1,128.66,125.41,127.5,127.33,66489891
2021-10-14,130.64,130.98,127.47,130.0,129.75,51473053
2021-10-15,127.72,130.84,123.9,126.88,126.81,34144042
2021-10-18,124.89,127.46,121.96,124.81,124.64,68108159
2021-10-19,127.33,130.06,123.42,126.03,126.01,56189499
2021-10-20,126.24,130.25,123.42,127.26,127.23,114990429
2021-10-21,128.32,128.89,127.58,128.5,128.5,72008532
2021-10-22,137.1,139.2,136.02,137.79,137.51,79836223
2021-10-25,137.45,139.65,136.36,139.27,139.05,67704396
2021-10-26,142.13,143.08,140.7,142.21,141.99,71861493
2021-10-27,144.62,145.68,143.11,144.74,144.59,44073180
2021-10-28,148.07,149.88,144.45,146.52,146.43,52313197
2021-10-29,146.4,147.49,145.05,145.75,145.71,94945909
2021-11-01,146.76,148.33,144.18,147.82,147.74,74228234
2021-11-02,147.74,148.48,145.11,145.85,145.74,62609267
2021-11-03,146.53,147.2,144.06,145.29,145.07,80207994
2021-11-04,144.68,148.2,142.21,144.09,143.94,80651433
2021-11-05,144.14,147.15,141.24,144.37,144.35,122235038
2021-11-08,149.57,154.23,146.76,150.58,150.57,73270188
2021-11-09,145.29,147.35,142.89,145.67,145.64,51986970
2021-11-10,148.67,149.81,146.85,147.55,147.42,67768685
2021-11-11,145.28,148.21,141.36,143.39,143.12,82981161
2021-11-12,143.78,145.05,141.8,142.24,142.06,92506578
2021-11-15,144.62,146.31,143.17,145.12,144.89,44535486
2021-11-16,144.21,146.31,142.64,145.35,145.22,75153532
2021-11-17,142.77,143.35,142.35,142.63,142.52,54448966
2021-11-18,139.12,141.87,138.07,140.86,140.83,59730232
2021-11-19,142.98,144.35,139.25,142.66,142.41,88706248
2021-11-22,140.72,143.28,137.36,140.86,140.64,86266801
2021-11-23,141.01,141.83,139.68,141.48,141.43,57893930
2021-11-24,140.07,142.51,139.79,141.66,141.51,66973664
2021-11-25,140.57,143.44,139.32,140.07,139.93,60243358
2021-11-26,145.1,146.3,143.59,145.64,145.46,157302716
2021-11-29,146.17,148.74,142.7,147.38,147.1,75674067
2021-11-30,139.31,145.26,138.7,142.17,142.0,55336924
2021-12-01,142.68,143.38,139.93,142.71,142.56,101362382
2021-12-02,142.84,143.26,140.58,141.08,141.07,102369050
2021-12-03,145.0,146.83,139.81,143.33,143.31,115603131
2021-12-06,140.91,142.53,139.48,141.36,141.31,125603921
2021-12-07,140.54,143.19,137.79,141.14,141.13,85341035
2021-12-08,142.96,145.86,141.18,142.49,142.28,63468057
2021-12-09,143.78,145.41,141.47,144.79,144.58,66139261
2021-12-10,142.06,144.18,140.97,141.76,141.72,64503156
2021-12-13,141.73,143.59,140.34,140.97,140.74,62517326
2021-12-14,141.04,141.67,136.55,139.84,139.79,99055227
2021-12-15,138.17,140.47,134.99,138.26,138.18,70014131
2021-12-16,142.59,143.87,139.41,142.79,142.72,91880917
2021-12-17,143.02,145.73,140.73,143.9,143.79,84598782
2021-12-20,139.92,141.15,137.07,140.74,140.66,51463450
2021-12-21,142.92,144.87,142.54,143.14,143.0,43279789
2021-12-22,149.17,150.41,147.44,148.79,148.66,49512720
2021-12-23,152.61,155.78,150.35,151.64,151.35,62116860
2021-12-24,146.79,147.97,144.4,147.62,147.6,72682970
2021-12-27,147.93,149.57,145.01,146.4,146.36,58379870
2021-12-28,149.56,151.65,148.88,149.85,149.83,85229999
2021-12-29,148.0,150.74,145.73,148.02,147.83,60385160
2021-12-30,148.49,151.48,145.44,149.27,149.26,75221968
2021-12-31,148.87,154.01,147.35,151.44,151.18,72342957
2022-01-03,149.92,152.87,148.38,149.0,148.85,113765180
2022-01-04,149.67,152.92,148.05,148.91,148.75,53272901
2022-01-05,140.25,141.73,139.31,140.53,140.37,129911388
2022-01-06,138.09,140.01,136.89,138.03,137.98,59268459
2022-01-07,137.96,140.88,135.2,137.46,137.41,48099862
2022-01-10,133.0,137.8,130.95,134.47,134.38,65875002
2022-01-11,138.03,141.64,135.58,138.54,138.38,173423087
2022-01-12,135.83,137.18,133.77,135.08,135.02,89940892
2022-01-13,132.9,134.84,130.14,134.08,134.04,82874315
2022-01-14,134.73,136.44,133.66,134.45,134.19,87457027
2022-01-17,136.74,140.64,135.06,138.05,138.04,56430459
2022-01-18,135.03,136.76,131.86,134.59,134.37,76691253
2022-01-19,137.46,139.23,136.73,137.49,137.28,70049062
2022-01-20,136.03,140.49,135.53,137.58,137.5,116167594
2022-01-21,136.34,137.66,132.23,135.23,135.2,67901809
2022-01-24,135.72,139.38,134.47,136.42,136.38,62964924
2022-01-25,136.2,138.45,133.83,136.98,136.78,50519096
2022-01-26,135.76,136.96,135.35,135.57,135.39,72798787
2022-01-27,136.89,138.52,133.41,135.8,135.58,75983921
2022-01-28,133.96,137.52,132.81,134.92,134.67,50001377
2022-01-31,135.31,135.86,134.94,135.26,135.07,79470115
2022-02-01,137.35,138.13,134.8,136.94,136.9,74722818
2022-02-02,141.65,145.03,140.01,140.97,140.9,92968437
2022-02-03,138.09,138.81,136.51,137.92,137.69,98293540
2022-02-04,143.02,145.48,142.6,143.39,143.33,71872480
2022-02-07,137.7,140.56,137.07,138.5,138.48,52368908
2022-02-08,138.27,140.03,137.06,138.18,137.99,55474374
2022-02-09,138.67,142.02,138.23,139.72,139.6,114650800
2022-02-10,137.62,141.4,134.47,140.49,140.23,73319915
2022-02-11,139.41,141.4,138.83,138.98,138.8,114139147
2022-02-14,139.4,140.79,136.78,138.53,138.5,80487717
2022-02-15,135.09,139.68,134.56,137.37,137.11,86447839
2022-02-16,135.02,136.57,133.88,135.98,135.91,91043540
2022-02-17,138.73,140.77,134.93,138.13,138.04,49700568
2022-02-18,141.09,141.86,138.41,139.09,138.98,76282339
2022-02-21,137.45,138.5,134.1,137.43,137.41,49508063
2022-02-22,139.02,140.61,138.19,139.73,139.59,64632655
2022-02-23,140.39,141.33,137.75,140.57,140.54,83742175
2022-02-24,144.08,147.08,140.69,142.71,142.59,52530909
2022-02-25,143.74,145.53,140.55,144.4,144.3,81868122
2022-02-28,141.53,145.63,139.5,142.32,142.1,46014286
2022-03-01,140.48,144.38,138.54,140.96,140.73,96411432
2022-03-02,141.98,145.03,141.17,142.93,142.89,58116686
2022-03-03,144.7,145.34,143.85,144.58,144.47,52504682
2022-03-04,146.23,147.69,141.26,144.59,144.48,46833351
2022-03-07,145.29,148.21,143.67,144.96,144.91,170536136
2022-03-08,148.13,149.85,146.66,148.4,148.16,41032479
2022-03-09,146.59,147.34,143.77,146.89,146.68,60035946
2022-03-10,146.79,150.54,145.45,148.41,148.35,95235389
2022-03-11,148.85,152.02,144.41,147.94,147.83,66397273
2022-03-14,147.35,150.39,144.59,147.43,147.4,50339498
2022-03-15,150.25,151.22,147.94,150.44,150.25,74578254
2022-03-16,156.17,158.85,149.38,152.76,152.72,220952152
2022-03-17,155.41,156.38,154.74,155.08,154.78,121067232
2022-03-18,158.01,159.83,156.87,158.84,158.59,87347736
2022-03-21,158.5,162.47,156.57,158.97,158.85,76253454
2022-03-22,162.3,163.44,159.97,161.01,160.82,90189577
2022-03-23,160.31,161.48,157.16,160.18,159.89,67415067
2022-03-24,159.57,161.36,155.89,161.19,161.02,68537397
2022-03-25,161.92,165.47,159.09,160.89,160.83,111385652
2022-03-28,160.49,164.47,159.01,161.24,161.12,130840241
2022-03-29,165.19,167.84,159.13,163.05,162.78,91791526
2022-03-30,161.96,165.04,158.86,160.74,160.53,67861823
2022-03-31,166.46,167.76,164.34,166.99,166.77,64513738
2022-04-01,165.53,167.52,162.51,164.06,163.78,155888124
2022-04-04,160.67,162.18,156.92,160.59,160.3,73077751
2022-04-05,165.02,165.56,161.64,164.05,163.74,69152000
2022-04-06,167.04,169.16,163.26,166.47,166.44,62325993
2022-04-07,167.43,172.32,164.0,168.43,168.25,57498052
2022-04-08,169.66,170.76,168.09,170.42,170.17,41058698
2022-04-11,171.69,173.06,168.52,170.46,170.2,57158619
2022-04-12,167.41,168.81,163.84,167.81,167.6,60645934
2022-04-13,167.64,169.24,166.01,168.11,168.06,73027781
2022-04-14,165.04,169.94,161.73,166.15,165.89,121286957
2022-04-15,169.67,171.75,165.18,169.17,168.92,58910980
2022-04-18,171.23,173.32,166.1,168.8,168.77,52554493
2022-04-19,165.14,169.59,162.03,166.38,166.23,57307776
2022-04-20,165.53,166.3,162.13,165.5,165.44,73071015
2022-04-21,168.46,170.59,163.26,166.81,166.69,82542488
2022-04-22,165.11,167.07,163.37,165.2,165.19,85835433
2022-04-25,163.36,165.86,162.48,162.84,162.71,88257041
2022-04-26,162.42,167.72,160.69,163.63,163.45,91824560
2022-04-27,164.92,168.13,161.61,164.43,164.23,64741849
2022-04-28,162.8,164.73,160.87,163.01,162.79,124384116
2022-04-29,162.82,166.22,158.64,161.71,161.44,63380741
2022-05-02,163.81,164.64,160.9,162.46,162.39,72176218
2022-05-03,161.22,161.5,155.78,158.35,158.31,100617562
2022-05-04,155.08,156.0,153.61,154.46,154.19,201748694
2022-05-05,152.89,154.29,149.64,152.54,152.49,37377097
2022-05-06,152.23,154.25,149.88,152.02,151.73,70110549
2022-05-09,152.57,155.36,151.67,152.95,152.69,89107666
2022-05-10,157.5,161.1,155.87,157.13,156.97,48053912
2022-05-11,159.32,161.76,156.3,159.65,159.34,86374217
2022-05-12,159.45,161.53,157.26,159.26,159.23,78080343
2022-05-13,160.75,161.1,158.29,159.28,159.18,97513709
2022-05-16,155.4,156.79,151.63,156.5,156.3,57671001
2022-05-17,157.77,160.01,153.68,156.52,156.41,92512650
2022-05-18,157.21,159.02,152.04,155.78,155.49,73199277
2022-05-19,156.63,160.07,154.86,156.76,156.74,114776794
2022-05-20,152.21,155.26,150.33,154.51,154.34,152717410
2022-05-23,155.37,156.28,151.86,156.03,155.85,107686880
2022-05-24,161.92,163.83,158.28,160.47,160.26,80081148
2022-05-25,160.2,161.3,157.32,160.22,160.14,134071918
2022-05-26,160.33,161.81,159.2,161.46,161.34,82886242
2022-05-27,162.97,166.56,161.06,163.55,163.28,54286221
2022-05-30,163.4,164.01,161.8,162.45,162.39,69234460
2022-05-31,163.8,166.36,162.21,163.18,162.91,86640160
2022-06-01,163.02,164.55,162.85,163.29,163.11,88213711
2022-06-02,163.23,164.49,162.91,163.65,163.4,51081432
2022-06-03,161.02,163.09,157.08,161.46,161.23,125706316
2022-06-06,160.56,164.88,159.47,161.61,161.54,63620038
2022-06-07,164.98,166.7,160.37,163.13,162.95,81301742
2022-06-08,167.15,170.71,163.62,167.53,167.24,84268889
2022-06-09,171.97,172.66,168.1,170.52,170.37,72825100
2022-06-10,179.23,182.73,176.51,177.34,177.0,55415270
2022-06-13,176.21,177.39,171.75,174.99,174.83,113845158
2022-06-14,177.3,180.9,174.57,177.83,177.78,51848136
2022-06-15,179.01,181.62,175.19,178.5,178.36,100801239
2022-06-16,185.73,190.09,182.11,185.76,185.41,86087632
2022-06-17,182.0,185.05,177.56,183.16,183.04,100181975
2022-06-20,180.91,181.37,177.83,180.5,180.18,61809305
2022-06-21,177.16,178.9,175.53,178.64,178.32,67259082
2022-06-22,173.45,177.06,169.17,172.02,171.9,71087190
2022-06-23,169.92,172.79,169.47,170.47,170.44,61258576
2022-06-24,168.47,171.77,164.44,168.23,167.99,74557274
2022-06-27,169.1,170.22,168.11,168.77,168.66,108922899
2022-06-28,169.58,171.46,168.07,169.88,169.62,48685525
2022-06-29,176.52,176.82,172.18,175.8,175.64,58234383
2022-06-30,178.32,183.22,175.58,178.91,178.74,56491294
2022-07-01,178.22,181.26,175.29,177.14,176.87,68173650
2022-07-04,172.74,178.46,170.6,174.38,174.25,67393453
2022-07-05,176.17,177.47,172.22,176.01,175.85,86898722
2022-07-06,174.29,177.02,170.38,171.95,171.83,70664103
2022-07-07,176.55,180.87,172.69,177.8,177.67,76195511
2022-07-08,180.83,183.26,180.27,181.69,181.5,78261884
2022-07-11,180.9,184.76,176.71,180.25,179.96,74979022
2022-07-12,175.07,179.23,171.12,174.85,174.73,85235916
2022-07-13,179.69,183.68,178.29,179.25,179.06,67643055
2022-07-14,179.57,182.94,176.93,178.96,178.72,110994249
2022-07-15,183.89,185.29,182.16,183.07,182.97,142615015
2022-07-18,179.36,180.75,174.78,177.97,177.87,85305583
2022-07-19,176.65,180.91,173.7,176.14,175.81,74614344
2022-07-20,175.94,176.46,173.08,176.24,175.98,83377483
2022-07-21,177.3,180.52,175.46,176.47,176.26,51429193
2022-07-22,177.45,180.64,174.06,175.12,174.9,73620592
2022-07-25,177.01,180.0,176.66,177.18,177.17,57038378
2022-07-26,172.7,178.19,171.19,173.88,173.67,80744413
2022-07-27,174.86,176.34,171.01,173.52,173.34,57117733
2022-07-28,173.82,175.56,170.07,173.97,173.78,63558297
2022-07-29,173.0,176.18,170.05,175.67,175.54,41444011
2022-08-01,179.07,181.15,175.97,178.01,177.98,50399761
2022-08-02,173.87,175.79,169.72,174.52,174.46,223285863
2022-08-03,169.74,171.42,166.64,169.85,169.52,54883806
2022-08-04,174.28,177.94,169.82,173.88,173.73,94287814
2022-08-05,175.23,179.34,172.61,175.0,174.83,53592348
2022-08-08,173.59,174.54,171.49,172.73,172.72,79472138
2022-08-09,177.16,179.47,176.76,177.7,177.69,56552537
2022-08-10,178.79,182.96,174.87,178.15,177.9,77978003
2022-08-11,181.73,182.51,181.02,182.06,181.86,45547456
2022-08-12,183.31,183.9,180.85,182.36,182.18,61658063
2022-08-15,190.15,191.09,186.73,189.34,189.25,55232719
2022-08-16,194.22,198.49,191.4,195.5,195.21,89639884
2022-08-17,196.2,197.1,191.72,194.72,194.65,79672838
2022-08-18,197.5,203.05,196.51,198.24,198.17,49569411
2022-08-19,201.78,204.15,198.62,200.65,200.46,66128818
2022-08-22,206.28,208.96,202.49,205.75,205.63,56387429
2022-08-23,204.9,206.32,197.38,202.29,202.19,91338031
2022-08-24,204.58,207.42,200.8,204.9,204.64,99935202
2022-08-25,208.42,212.46,203.6,208.94,208.66,46750951
2022-08-26,202.49,206.37,198.58,202.52,202.18,88232208
2022-08-29,197.92,202.12,194.91,198.34,198.17,55588277
2022-08-30,192.35,195.21,190.2,191.28,191.25,65214285
2022-08-31,188.28,194.76,185.08,190.44,190.33,70635046
2022-09-01,191.57,196.98,188.52,193.0,192.62,116413087
2022-09-02,196.89,202.18,193.85,198.38,198.14,52847865
2022-09-05,200.05,200.52,196.2,198.73,198.45,88431227
2022-09-06,207.19,207.43,201.93,204.74,204.73,50424340
2022-09-07,199.66,201.02,197.85,199.8,199.6,49458257
2022-09-08,193.63,197.14,191.02,193.86,193.84,70560112
2022-09-09,193.85,195.95,192.64,193.75,193.53,70427196
2022-09-12,196.77,198.87,191.22,195.18,194.82,31672415
2022-09-13,193.89,199.49,192.83,195.15,194.78,96851822
2022-09-14,188.42,192.66,187.54,188.11,187.91,38457098
2022-09-15,189.18,193.49,185.74,187.89,187.72,67197279
2022-09-16,184.26,185.83,180.53,183.62,183.27,101517131
2022-09-19,186.17,189.45,183.79,185.93,185.68,129939213
2022-09-20,188.55,189.97,185.81,187.24,187.22,63233946
2022-09-21,180.7,185.21,178.1,184.18,184.01,46864923
2022-09-22,183.44,184.43,180.87,182.57,182.48,100468952
2022-09-23,178.38,180.85,174.21,179.2,179.03,89187337
